Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sweden,SWE,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,9349772855.29343,10260889106.6171,11492968188.2414,12931616424.6849,15337650113.4095,18016127148.7241,16809349465.4164,15176839222.4703,14117122592.0449,14283891961.6079,15065247829.4777,19585017154.3778,23830873730.4747,27236320906.8898,29252064953.1025,35477501956.1248,36878422245.7861,38867490326.3405,30681321796.3329,31511664065.7431,35883532164.5043,40341336112.7879,37714311922.9017,38803381163.5097,41453451794.7389,40894326694.0222,39176598145.4944,43699356071.2671,53419116297.6969,60417341371.2705,62040117230.5298,66093085020.8807,76512398641.6634,84491056110.8633,77109279064.366,83610957929.0887,95022542889.3391,93784135081.8466,99371786208.1794,98296914991.3547,83752854871.2079,85460606398.9509,90628800177.0059,94671758914.9964,90880975632.9613,96199378014.922,110244746818.861,..,..,..
Sweden,SWE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.6,5.5,5.7,6.1,5.8,6,6,6,5.9,5.7,5.6,5.6,5.4,5.3,4.9,5,5.3,5.1,5.3,7.9619566,8.0744949,8.2848299,8.0430274,7.21543541836226,6.85965649334337,6.7360632757556,6.61259024572404,6.46672678517897,6.32086332463384,6.69,6.47,5.96,5.7,5.85,6.37,6.11,6.02,7.08,7.06687591874821,7.03826821716559,7.00931903840277,7.20552388873377,7.12834836356004,7.10473688546251,7.07961708394365,7.07961708394365,7.07961708394365,..,..,..
Sweden,SWE,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,4585035672.65546,4848601813.63209,5294999966.52981,6255596048.6887,7030999503.16066,8405884627.38792,7638607915.62984,6703665590.679,6036019597.76186,6066748135.10964,6227435906.97239,8256761471.16626,9721619667.84433,10783923234.4301,10479135067.2416,12771237801.5814,14083245650.1034,13875206778.9072,10737249531.0533,17633525653.9762,20980058136.3248,23528299198.292,21004922964.3503,19122505796.2332,18770464018.0403,17715503811.3335,16040884937.7649,17305758102.0655,21489082732.6064,25909942413.1503,25722065889.6576,25870828277.8998,28840112593.9516,31330246544.5828,28459555057.6184,31117085078.5678,35266238330.0745,40011489311.4026,42402785192.9293,41824719235.7562,35686948941.3059,37370010748.3547,39235013056.035,40241823238.3687,38905550769.591,40077851125.0093,46291445351.8589,..,..,..
Sweden,SWE,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1.6980288870208E-05,0.000125955513967696,4.1716916937207E-05,3.94978203083458E-05,8.0898311462726E-05,0.00215009787670093,0.000386921819613552,0.000818222032757065,0.00157623480790673,0.000781729593817016,0.000401240411124269,8.70168933107229E-05,0.000114734330168223,5.67585575345236E-05,8.70902467342314E-05,0.000100989772149696,3.16842199504403E-05,1.70971519540587E-05,1.14777339483796E-05,0,0,0,0,0,0,0,0.000683869190911897,0.00150468102238401,0.00140447366476377,0.00217423757786903,0.00355809356547759,0.00540370518077996,0.00825954195881837,0.0139292092278173,0.0124814838459469,0.0151368158100461,0.0220729799066752,0.0199927436955999,0.0155009140836057,0.0134461495694928,0.00750690390118918,0.00595753990894641,0.00765766453871839,0.0201589457969788,0.0191894103170098,0.00983060801001922,0.0203138760991424,..,..,..
Sweden,SWE,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,13902.7196789104,111037.842447406,38752.8199624979,40505.3128938859,98068.2737415454,3012245.78152329,492590.679004997,914181.147754827,1612573.59172871,832027.465868315,446196.239922079,128299.5950051,206556.207544507,115486.778745148,186251.113993349,257952.879130258,84191.8212818785,46515.0036652866,23252.6968782628,0,0,0,0,0,0,0,1658936.45247316,4026711.91456957,4774798.82538418,8420683.17415456,14145520.4223773,23456095.4356302,41790547.3801385,74599240.9023237,55764125.0729199,77088966.5106081,129307470.106936,112985798.118942,93008839.7954513,79903381.5128603,38220331.3561934,30897591.0522174,42148412.6240573,114181953.042314,105454090.027008,55651264.6972716,132826207.149054,..,..,..
Sweden,SWE,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,26.8725863315185,24.5881348250039,21.3099994420063,20.8165224289137,21.4518930876734,22.100747408107,20.5095897937254,19.4031758201278,21.4929223886252,23.8999827772815,23.7343854192461,24.0726862057846,24.1592576454499,24.8805705782345,25.6263684669054,24.6321240253993,21.5773382069565,18.7825490083887,16.8755094626178,20.3212204616938,23.2365376218914,23.1897745576591,23.7230107459731,24.7577862264928,25.7019801107766,26.7983212523972,27.1988078673958,26.3597268160509,27.3273276771149,27.6370797496057,28.0007710279289,30.3482135703711,31.6082885871057,30.9715184532723,26.7097592391852,28.3701483203359,28.4519656307021,27.0740474629351,26.7363659842316,26.9950084481061,27.2657438727397,26.9457045561704,28.0261045297178,28.1025837640952,29.5044603111673,29.9239707553395,30.3431933897672,..,..,..
Sweden,SWE,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0307401901420511,0.050038920454743,0.047613491245908,0.0318262117627244,0.0674438029708727,0.0537681984063089,0.0325588931391823,0.0283404935331156,0.0327358316777053,0.024077900816136,0.0259015661610397,0.0120124206711692,0.0218836424538493,0.152637242254528,0.156869875505709,0.0591669644156435,0.0217847780677048,0.0184665990561028,0.0271590495603631,0.0410745354628157,0.0467504835242169,0.0108698000255729,0.0426293929525976,0.0220053631556662,0.0175263317087735,0.0276363113601239,0.0194718530690602,0.00734594423280141,0.00721135963298463,0.0310905072368497,0.0641271843698971,0.145009881901376,0.163809320454727,0.117237448054728,0.0635560188909522,0.354702558727043,0.441704099580228,0.123870859505731,0.0794321529799064,0.0599590366350719,0.0627011668732867,0.0753788090376812,0.127995991246868,0.145356823087445,0.0998666346048967,0.107429399663286,0.555730911888683,..,..,..
Sweden,SWE,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,25168726.4974136,44112509.1761925,44230427.1146404,32638020.417644,81758162.9619779,75328212.0709893,41450769.8095173,31664198.553468,33490529.077231,25627115.7673067,28803632.7067999,17711373.6023484,39397120.1635953,310571377.959989,335481757.837899,151127074.509978,57886864.3321643,50240760.8640391,55021413.6143136,90968704.2012658,121472348.968772,30869421.6192997,111329611.408054,58319097.891386,47958287.5654216,72682093.2626344,47235008.2190308,19658652.3827612,24516509.1869411,120411547.399463,254943378.930558,629450629.743123,828820920.32509,627876607.147412,283952279.257471,1806433665.71114,2587581735.40985,700036380.099973,476610111.588812,356304959.619487,319234055.192496,390937140.370974,704500416.023853,823313188.859211,548810250.150519,608159937.903866,3633754034.01103,..,..,..
Sweden,SWE,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.0307571704309213,0.0501648759687107,0.0476552081628452,0.0318657095830327,0.0675247012823354,0.0559182962830098,0.0329458149587959,0.0291587155658727,0.034312066485612,0.024859630409953,0.026302806572164,0.0120994375644799,0.0219983767840175,0.152694000812063,0.156956965752443,0.0592679541877932,0.0218164622876552,0.0184836962080569,0.0271705272943115,0.0410745354628157,0.0467504835242169,0.0108698000255729,0.0426293929525976,0.0220053631556662,0.0175263317087735,0.0276363113601239,0.0201557222599721,0.00885062525518542,0.0086158332977484,0.0332647448147187,0.0676852779353747,0.150413587082156,0.172068862413545,0.131166657282545,0.0760375027368991,0.369839374537089,0.463777079486903,0.143863603201331,0.0949330670635121,0.0734051862045647,0.0702080707744759,0.0813363489466276,0.135653655785586,0.165515768884424,0.119056044921906,0.117260007673305,0.576044787987825,..,..,..
Sweden,SWE,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
