Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sweden,SWE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,0.562680122003317,2.32392041816888,3.25943101880195,3.88599558201117,4.46861107726782,4.08809657028835,8.09812070609855,10.0922479818926,8.45774156853804,7.39317595883729,6.01689922556883
Sweden,SWE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,1.06459067890898,1.11978084734839,0.494908669779694,0.581325196187856,0.513361451406936,0.417650657609339,0.30429836634002,..,..
Sweden,SWE,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,66.4673991335836,66.3960375684263,69.4632787096739,73.4482502045099,72.9210060985407,74.3265593749646,88.0226720770336,89.3220267028932,85.6146692761778,79.8696533084133,..
Sweden,SWE,Broad money (current LCU),FM.LBL.BMNY.CN,2634557000000,2809711000000,3058282000000,3366065000000,3494589000000,3741185000000,4419599000000,4881338000000,5021481000000,4957130000000,4970199000000
Sweden,SWE,Broad money growth (annual %),FM.LBL.BMNY.ZG,4.1774057955312,6.64832835273634,8.84685293256139,10.0639182390636,3.81822692075168,7.05650936347593,18.1336662046918,10.4475315520707,2.87099561636584,-1.2815143580151,..
Sweden,SWE,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,6.13626348237129,5.73349589067795,6.01723285017065,6.33116089484569,6.63774497421745,7.12566680208431,8.23636558056159,9.17194557581705,7.72258801414842,7.67638366020363,..
Sweden,SWE,Changes in inventories (constant LCU),NE.GDI.STKB.KN,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Changes in inventories (current LCU),NE.GDI.STKB.CN,6790000000,23254000000,20984000000,23365000000,34506000000,31941000000,-5607000000,11220000000,80720000000,-1951000000,..
Sweden,SWE,Changes in inventories (current US$),NE.GDI.STKB.CD,989682667.508164,2756898495.12078,2450831630.88028,2733112686.65133,3969620618.19063,3377016373.27656,-608774361.717736,1308215789.77192,7980818133.22728,-183880333.716861,..
Sweden,SWE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,3869250937.68188,4240090689.6807,3388227720.04536,5118824999.53696,5083294212.34674,7219980922.93097,9489139862.82978,11264665350.8645,15239031604.8459,14866636739.5318,17935350909.6534
Sweden,SWE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,9254965595.79995,8570297469.18668,7960038582.66227,8038041493.77219,7700426110.63986,8637237575.69155,8377407361.65062,9586646043.18072,8285434317.80889,9501433097.20235,10916286415.933
